Model,Training Samples,Training F1 Mean,Training F1 Std,Validation F1 Mean,Validation F1 Std
Credit Card - Decision Tree,18158,1.0,0.0,0.6593453732177802,0.09553343287882285
Credit Card - Decision Tree,45396,1.0,0.0,0.7114620345296416,0.048010552702129256
Credit Card - Decision Tree,90792,1.0,0.0,0.7319383276570106,0.020608344621005654
Credit Card - Decision Tree,136188,1.0,0.0,0.7570897034811127,0.02180385963842663
Credit Card - Decision Tree,181584,1.0,0.0,0.7495159886546107,0.02922782469005162
Credit Card - Neural Network,18158,0.9556118457813373,0.043864238933029674,0.7697817606015022,0.05250035773427512
Credit Card - Neural Network,45396,0.9722052555940177,0.01558914526965193,0.8067182852709169,0.025487367326397958
Credit Card - Neural Network,90792,0.9607816220641598,0.008458387758661262,0.8236972335921298,0.026495018594456504
Credit Card - Neural Network,136188,0.9513482403232629,0.01375378242178488,0.818823704419291,0.032485253316059934
Credit Card - Neural Network,181584,0.9353246083904185,0.029141844207293065,0.8247238714730976,0.014265202132431506
Vehicle Fraud - Decision Tree,986,1.0,0.0,0.1889940379066098,0.043037862899356495
Vehicle Fraud - Decision Tree,2467,1.0,0.0,0.21012165002337496,0.04847589711219052
Vehicle Fraud - Decision Tree,4934,1.0,0.0,0.24177853741936556,0.03979265040910546
Vehicle Fraud - Decision Tree,7401,1.0,0.0,0.28549412904192994,0.024905459886161635
Vehicle Fraud - Decision Tree,9868,1.0,0.0,0.3179763410100696,0.07052173054080824
Vehicle Fraud - Neural Network,986,1.0,0.0,0.10549358992735465,0.028949634809286584
Vehicle Fraud - Neural Network,2467,1.0,0.0,0.10444053266072446,0.041042519424389926
Vehicle Fraud - Neural Network,4934,1.0,0.0,0.16157157618875795,0.03481812911762888
Vehicle Fraud - Neural Network,7401,1.0,0.0,0.15648251148190623,0.017579049025068787
Vehicle Fraud - Neural Network,9868,1.0,0.0,0.1670941250957797,0.022574822204139457
